Date,Open,High,Low,Close,Adj Close,Volume
2023-07-19,1.910000,1.910000,1.910000,1.910000,1.910000,0
2023-07-20,1.908000,1.908000,1.908000,1.908000,1.908000,0
2023-07-21,1.911000,1.911000,1.911000,1.911000,1.911000,0
2023-07-24,1.903000,1.903000,1.903000,1.903000,1.903000,0
2023-07-25,1.916000,1.916000,1.916000,1.916000,1.916000,0
2023-07-26,1.928000,1.928000,1.928000,1.928000,1.928000,0
2023-07-27,1.948000,1.948000,1.948000,1.948000,1.948000,0
2023-07-28,1.967000,1.967000,1.967000,1.967000,1.967000,0
2023-07-31,1.972000,1.972000,1.972000,1.972000,1.972000,0
2023-08-01,1.973000,1.973000,1.973000,1.973000,1.973000,0
2023-08-02,1.949000,1.949000,1.949000,1.949000,1.949000,0
2023-08-03,1.933000,1.933000,1.933000,1.933000,1.933000,0
2023-08-04,1.934000,1.934000,1.934000,1.934000,1.934000,0
2023-08-07,1.943000,1.943000,1.943000,1.943000,1.943000,0
2023-08-08,1.947000,1.947000,1.947000,1.947000,1.947000,0
2023-08-10,1.950000,1.950000,1.950000,1.950000,1.950000,0
2023-08-11,1.935000,1.935000,1.935000,1.935000,1.935000,0
2023-08-14,1.916000,1.916000,1.916000,1.916000,1.916000,0
2023-08-15,1.904000,1.904000,1.904000,1.904000,1.904000,0
2023-08-16,1.892000,1.892000,1.892000,1.892000,1.892000,0
2023-08-17,1.883000,1.883000,1.883000,1.883000,1.883000,0
2023-08-18,1.872000,1.872000,1.872000,1.872000,1.872000,0
2023-08-21,1.863000,1.863000,1.863000,1.863000,1.863000,0
2023-08-22,1.865000,1.865000,1.865000,1.865000,1.865000,0
2023-08-23,1.873000,1.873000,1.873000,1.873000,1.873000,0
2023-08-24,1.878000,1.878000,1.878000,1.878000,1.878000,0
2023-08-25,1.881000,1.881000,1.881000,1.881000,1.881000,0
2023-08-28,1.896000,1.896000,1.896000,1.896000,1.896000,0
2023-08-29,1.901000,1.901000,1.901000,1.901000,1.901000,0
2023-08-30,1.899000,1.899000,1.899000,1.899000,1.899000,0
